timestamp,t,e,tk,lp,pc,ft,ap,v,bp1,sp1,bq1,sq1,oi,h,_id
2023-08-28 10:06:27.489718,tf,NFO,60479,273.70,0.16,1693197388,277.22,16399020,273.30,273.75,,,,,
2023-08-28 10:06:27.493716,tf,NFO,60479,273.90,0.24,1693197389,,,,,,,,,
2023-08-28 10:06:27.495716,tf,NFO,60479,274.00,0.27,1693197389,,16400850,273.85,274.00,90,60,,,
2023-08-28 10:06:27.497714,tf,NFO,60479,274.40,0.42,1693197390,,16403820,273.80,274.20,,15,,,
2023-08-28 10:06:27.500712,tf,NFO,60479,274.00,0.27,1693197391,,,,,,,,,
2023-08-28 10:06:27.502711,tf,NFO,60479,274.30,0.38,1693197391,,16406925,273.95,274.40,15,225,,,
2023-08-28 10:06:27.666610,tf,NFO,60479,273.90,0.24,1693197392,,,,,,,,,
2023-08-28 10:06:28.667067,tf,NFO,60479,274.10,0.31,1693197393,,,,,,,,,
2023-08-28 10:06:29.518508,tf,NFO,60479,271.95,-0.48,1693197393,,16413540,271.90,272.25,75,75,,,
2023-08-28 10:06:29.665260,tf,NFO,60479,271.90,-0.49,1693197394,,,,,,,,,
2023-08-28 10:06:30.518271,tf,NFO,60479,271.35,-0.70,1693197394,,16414830,271.40,271.80,15,90,,,
2023-08-28 10:06:31.519836,tf,NFO,60479,270.85,-0.88,1693197395,,16415430,270.85,271.15,,60,,,
2023-08-28 10:06:31.667655,tf,NFO,60479,270.80,-0.90,1693197396,,,,,,,,,
2023-08-28 10:06:32.522520,tf,NFO,60479,271.25,-0.73,1693197396,,16415790,270.80,271.10,255,30,,,
2023-08-28 10:06:32.666771,tf,NFO,60479,271.10,-0.79,1693197397,,,,,,,,,
2023-08-28 10:06:33.522907,tf,NFO,60479,271.15,-0.77,1693197397,,16416225,270.65,,15,90,,,
2023-08-28 10:06:34.669056,tf,NFO,60479,270.95,-0.84,1693197399,,,,,,,,,
2023-08-28 10:06:35.124235,tf,NFO,60479,271.10,-0.79,1693197399,,16417245,270.75,271.15,120,45,,,
2023-08-28 10:06:35.667529,tf,NFO,60479,271.00,-0.82,1693197400,,,,,,,,,
2023-08-28 10:06:36.130442,tf,NFO,60479,270.35,-1.06,1693197400,,16417770,270.50,270.80,75,60,,,
2023-08-28 10:06:36.670098,tf,NFO,60479,270.55,-0.99,1693197401,,,,,,,,,
2023-08-28 10:06:37.133852,tf,NFO,60479,270.75,-0.91,1693197401,,16419030,270.40,270.75,,30,,,
2023-08-28 10:06:37.670760,tf,NFO,60479,270.70,-0.93,1693197402,,,,,,,,,
2023-08-28 10:06:38.334479,tf,NFO,60479,270.25,-1.10,1693197402,,16423950,270.00,270.30,60,15,,,
2023-08-28 10:06:38.668832,tf,NFO,60479,270.35,-1.06,1693197403,,,,,,,,,
2023-08-28 10:06:39.130578,tf,NFO,60479,270.45,-1.02,1693197403,,16424610,269.90,,90,,,,
2023-08-28 10:06:40.376180,tf,NFO,60479,270.35,-1.06,1693197404,,16425735,270.05,270.40,,30,,,
2023-08-28 10:06:41.573438,tf,NFO,60479,270.25,-1.10,1693197405,,16427490,269.75,270.10,120,45,,,
2023-08-28 10:06:42.596900,tf,NFO,60479,270.50,-1.01,1693197406,277.21,16429905,269.95,270.35,75,30,,,
2023-08-28 10:06:43.566299,tf,NFO,60479,271.00,-0.82,1693197407,,16430685,270.95,271.25,15,,,,
2023-08-28 10:06:43.708209,tf,NFO,60479,270.95,-0.84,1693197408,,,,,,,,,
2023-08-28 10:06:44.167925,tf,NFO,60479,270.50,-1.01,1693197408,,16432455,270.00,270.50,480,,,,
2023-08-28 10:06:44.711673,tf,NFO,60479,270.40,-1.04,1693197409,,,,,,,,,
2023-08-28 10:06:45.189376,tf,NFO,60479,269.85,-1.24,1693197409,,16433310,270.05,270.45,90,15,,,
2023-08-28 10:06:45.730041,tf,NFO,60479,270.10,-1.15,1693197410,,,,,,,,,
2023-08-28 10:06:46.204745,tf,NFO,60479,271.30,-0.71,1693197410,,16434165,270.80,271.25,120,30,,,
2023-08-28 10:06:46.742409,tf,NFO,60479,271.75,-0.55,1693197411,,,,,,,,,
2023-08-28 10:06:47.378017,tf,NFO,60479,271.55,-0.62,1693197411,,16436535,271.15,271.60,165,45,,,
2023-08-28 10:06:47.739790,tf,NFO,60479,271.45,-0.66,1693197412,,,,,,,,,
2023-08-28 10:06:48.375481,tf,NFO,60479,271.95,-0.48,1693197412,,16436805,271.65,271.95,150,15,,,
2023-08-28 10:06:48.739255,tf,NFO,60479,272.15,-0.40,1693197413,,,,,,,,,
2023-08-28 10:06:49.719014,tf,NFO,60479,272.60,-0.24,1693197414,,,,,,,,,
2023-08-28 10:06:50.348070,tf,NFO,60479,272.30,-0.35,1693197414,,16441020,272.35,272.85,15,360,,,
2023-08-28 10:06:51.552181,tf,NFO,60479,272.35,-0.33,1693197415,,16442280,271.30,271.50,,15,,,
2023-08-28 10:06:51.680878,tf,NFO,60479,271.40,-0.68,1693197416,,,,,,,,,
2023-08-28 10:06:52.552381,tf,NFO,60479,271.45,-0.66,1693197416,,16444635,270.80,271.30,30,165,,,
2023-08-28 10:06:52.679408,tf,NFO,60479,271.00,-0.82,1693197417,,,,,,,,,
2023-08-28 10:06:53.151463,tf,NFO,60479,270.95,-0.84,1693197417,,16445370,270.45,271.00,90,2055,,,
2023-08-28 10:06:53.681834,tf,NFO,60479,270.55,-0.99,1693197418,,,,,,,,,
2023-08-28 10:06:54.352968,tf,NFO,60479,269.80,-1.26,1693197418,,16449210,269.35,269.75,30,15,,,
2023-08-28 10:06:54.681764,tf,NFO,60479,269.85,-1.24,1693197419,,,,,,,,,
2023-08-28 10:06:55.556228,tf,NFO,60479,269.20,-1.48,1693197419,,16452690,269.00,269.20,345,1215,,,
2023-08-28 10:06:55.683144,tf,NFO,60479,269.10,-1.52,1693197420,,,,,,,,,
2023-08-28 10:06:56.156850,tf,NFO,60479,269.30,-1.45,1693197420,277.20,16454235,269.30,269.60,120,60,,,
2023-08-28 10:06:56.684521,tf,NFO,60479,269.90,-1.23,1693197421,,,,,,,,,
2023-08-28 10:06:57.374610,tf,NFO,60479,269.00,-1.56,1693197421,,16458030,269.25,269.55,90,15,,,
2023-08-28 10:06:57.685417,tf,NFO,60479,269.40,-1.41,1693197422,,,,,,,,,
2023-08-28 10:06:58.561870,tf,NFO,60479,270.45,-1.02,1693197422,,16461525,270.35,270.80,,30,,,
2023-08-28 10:06:58.684797,tf,NFO,60479,270.90,-0.86,1693197423,,,,,,,,,
2023-08-28 10:06:59.684177,tf,NFO,60479,270.80,-0.90,1693197424,,,,,,,,,
2023-08-28 10:07:00.159878,tf,NFO,60479,270.40,-1.04,1693197424,,16462260,270.25,270.45,30,15,,,
2023-08-28 10:07:00.686551,tf,NFO,60479,270.30,-1.08,1693197425,,,,,,,,,
2023-08-28 10:07:01.164255,tf,NFO,60479,269.35,-1.43,1693197425,,16464270,269.00,269.30,885,60,,,
2023-08-28 10:07:01.685932,tf,NFO,60479,269.10,-1.52,1693197426,,,,,,,,,
2023-08-28 10:07:02.165632,tf,NFO,60479,269.95,-1.21,1693197426,,16465410,269.60,269.95,30,,,,
2023-08-28 10:07:02.686310,tf,NFO,60479,269.40,-1.41,1693197427,,,,,,,,,
2023-08-28 10:07:03.168011,tf,NFO,60479,270.45,-1.02,1693197427,,16469715,270.05,270.40,60,30,,,
2023-08-28 10:07:03.688928,tf,NFO,60479,270.30,-1.08,1693197428,,,,,,,,,
2023-08-28 10:07:04.169870,tf,NFO,60479,269.60,-1.34,1693197428,,16470870,269.70,270.00,,60,,,
2023-08-28 10:07:04.689548,tf,NFO,60479,270.80,-0.90,1693197429,,,,,,,,,
2023-08-28 10:07:05.174247,tf,NFO,60479,269.60,-1.34,1693197429,,16472955,269.45,269.80,90,75,,,
2023-08-28 10:07:05.688925,tf,NFO,60479,269.35,-1.43,1693197430,,,,,,,,,
2023-08-28 10:07:06.573226,tf,NFO,60479,269.65,-1.32,1693197430,,16473540,269.40,269.65,120,15,,,
2023-08-28 10:07:07.576698,tf,NFO,60479,269.90,-1.23,1693197431,,16475055,269.45,269.90,150,75,,,
2023-08-28 10:07:07.688633,tf,NFO,60479,269.90,-1.23,1693197431,,16475055,269.45,269.90,150,75,,,
2023-08-28 10:07:08.379996,tf,NFO,60479,268.70,-1.67,1693197432,277.19,16481625,268.65,269.10,345,165,,,
2023-08-28 10:07:08.382005,tf,NFO,60479,268.70,-1.67,1693197432,277.19,16481625,268.65,269.10,345,165,,,
2023-08-28 10:07:08.692228,tf,NFO,60479,269.40,-1.41,1693197433,,,,,,,,,
2023-08-28 10:07:08.696232,tf,NFO,60479,269.40,-1.41,1693197433,,,,,,,,,
2023-08-28 10:07:09.580087,tf,NFO,60479,268.80,-1.63,1693197433,,16484370,268.90,269.25,30,30,,,
2023-08-28 10:07:09.585459,tf,NFO,60479,268.80,-1.63,1693197433,,16484370,268.90,269.25,30,30,,,
2023-08-28 10:07:09.692710,tf,NFO,60479,269.40,-1.41,1693197434,,,,,,,,,
2023-08-28 10:07:09.695714,tf,NFO,60479,269.40,-1.41,1693197434,,,,,,,,,
2023-08-28 10:07:10.182722,tf,NFO,60479,269.00,-1.56,1693197434,,16486020,,269.00,15,45,,,
2023-08-28 10:07:10.184725,tf,NFO,60479,269.00,-1.56,1693197434,,16486020,,269.00,15,45,,,
2023-08-28 10:07:11.380462,tf,NFO,60479,268.55,-1.72,1693197435,,16487730,268.15,268.55,60,15,,,
2023-08-28 10:07:11.384385,tf,NFO,60479,268.55,-1.72,1693197435,,16487730,268.15,268.55,60,15,,,
2023-08-28 10:07:11.694055,tf,NFO,60479,268.70,-1.67,1693197436,,,,,,,,,
2023-08-28 10:07:11.697059,tf,NFO,60479,268.70,-1.67,1693197436,,,,,,,,,
2023-08-28 10:07:12.384505,tf,NFO,60479,269.25,-1.46,1693197436,,16489455,268.45,268.80,15,,,,
2023-08-28 10:07:12.389509,tf,NFO,60479,269.25,-1.46,1693197436,,16489455,268.45,268.80,15,,,,
2023-08-28 10:07:13.585936,tf,NFO,60479,266.70,-2.40,1693197438,,16494690,266.80,267.20,,90,,,
2023-08-28 10:07:13.696087,tf,NFO,60479,267.45,-2.12,1693197438,,,,,,,,,
2023-08-28 10:07:13.774043,tf,NFO,60479,266.70,-2.40,1693197438,,16494690,266.80,267.20,,90,,,
2023-08-28 10:07:13.778038,tf,NFO,60479,267.45,-2.12,1693197438,,,,,,,,,
2023-08-28 10:07:14.593227,tf,NFO,60479,268.15,-1.87,1693197439,277.18,16496805,268.15,268.55,45,45,,,
2023-08-28 10:07:14.600225,tf,NFO,60479,268.15,-1.87,1693197439,277.18,16496805,268.15,268.55,45,45,,,
2023-08-28 10:07:14.695677,tf,NFO,60479,268.70,-1.67,1693197439,,,,,,,,,
2023-08-28 10:07:14.699684,tf,NFO,60479,268.70,-1.67,1693197439,,,,,,,,,
2023-08-28 10:07:15.593642,tf,NFO,60479,268.75,-1.65,1693197440,,16499115,268.70,268.90,90,15,,,
2023-08-28 10:07:15.696589,tf,NFO,60479,269.10,-1.52,1693197440,,,,,,,,,
2023-08-28 10:07:15.773059,tf,NFO,60479,268.75,-1.65,1693197440,,16499115,268.70,268.90,90,15,,,
2023-08-28 10:07:15.776842,tf,NFO,60479,269.10,-1.52,1693197440,,,,,,,,,
2023-08-28 10:07:16.187987,tf,NFO,60479,269.00,-1.56,1693197440,,16499955,269.00,269.40,135,,,,
2023-08-28 10:07:16.192981,tf,NFO,60479,269.00,-1.56,1693197440,,16499955,269.00,269.40,135,,,,
2023-08-28 10:07:16.897454,tf,NFO,60479,268.45,-1.76,1693197441,,,,,,,,,
2023-08-28 10:07:16.899462,tf,NFO,60479,268.45,-1.76,1693197441,,,,,,,,,
2023-08-28 10:07:17.195128,tf,NFO,60479,268.85,-1.61,1693197441,,16500645,268.40,268.80,15,45,,,
2023-08-28 10:07:17.199283,tf,NFO,60479,268.85,-1.61,1693197441,,16500645,268.40,268.80,15,45,,,
2023-08-28 10:07:17.695171,tf,NFO,60479,268.65,-1.68,1693197442,,,,,,,,,
2023-08-28 10:07:17.700536,tf,NFO,60479,268.65,-1.68,1693197442,,,,,,,,,
2023-08-28 10:07:18.393399,tf,NFO,60479,268.55,-1.72,1693197442,,16502730,268.15,268.50,60,15,,,
2023-08-28 10:07:18.398396,tf,NFO,60479,268.55,-1.72,1693197442,,16502730,268.15,268.50,60,15,,,
2023-08-28 10:07:18.696964,tf,NFO,60479,268.30,-1.81,1693197443,,,,,,,,,
2023-08-28 10:07:18.701963,tf,NFO,60479,268.30,-1.81,1693197443,,,,,,,,,
2023-08-28 10:07:19.195017,tf,NFO,60479,268.70,-1.67,1693197443,,16503705,268.20,268.65,180,75,,,
2023-08-28 10:07:19.202020,tf,NFO,60479,268.70,-1.67,1693197443,,16503705,268.20,268.65,180,75,,,
2023-08-28 10:07:19.698249,tf,NFO,60479,268.60,-1.70,1693197444,,,,,,,,,
2023-08-28 10:07:19.704199,tf,NFO,60479,268.60,-1.70,1693197444,,,,,,,,,
2023-08-28 10:07:20.202246,tf,NFO,60479,269.55,-1.35,1693197444,,16504485,269.55,269.75,15,30,,,
2023-08-28 10:07:20.208299,tf,NFO,60479,269.55,-1.35,1693197444,,16504485,269.55,269.75,15,30,,,
2023-08-28 10:07:20.698738,tf,NFO,60479,269.80,-1.26,1693197445,,,,,,,,,
2023-08-28 10:07:20.704745,tf,NFO,60479,269.80,-1.26,1693197445,,,,,,,,,
2023-08-28 10:07:21.198733,tf,NFO,60479,269.10,-1.52,1693197445,,16505280,268.90,269.25,75,,,,
2023-08-28 10:07:21.205735,tf,NFO,60479,269.10,-1.52,1693197445,,16505280,268.90,269.25,75,,,,
2023-08-28 10:07:21.698140,tf,NFO,60479,269.35,-1.43,1693197446,,,,,,,,,
2023-08-28 10:07:21.702567,tf,NFO,60479,269.35,-1.43,1693197446,,,,,,,,,
2023-08-28 10:07:22.398383,tf,NFO,60479,268.60,-1.70,1693197446,,16507020,268.25,268.60,60,15,,,
2023-08-28 10:07:22.405376,tf,NFO,60479,268.60,-1.70,1693197446,,16507020,268.25,268.60,60,15,,,
2023-08-28 10:07:22.699193,tf,NFO,60479,269.05,-1.54,1693197447,,,,,,,,,
2023-08-28 10:07:22.704191,tf,NFO,60479,269.05,-1.54,1693197447,,,,,,,,,
2023-08-28 10:07:23.600939,tf,NFO,60479,269.95,-1.21,1693197448,,16507590,269.50,269.85,45,,,,
2023-08-28 10:07:23.649907,tf,NFO,60479,269.95,-1.21,1693197448,,16507590,269.50,269.85,45,,,,
2023-08-28 10:07:23.698877,tf,NFO,60479,269.55,-1.35,1693197448,,,,,,,,,
2023-08-28 10:07:23.857780,tf,NFO,60479,269.55,-1.35,1693197448,,,,,,,,,
2023-08-28 10:07:24.603317,tf,NFO,60479,269.45,-1.39,1693197449,,16508610,269.45,269.75,465,30,,,
2023-08-28 10:07:24.703253,tf,NFO,60479,269.45,-1.39,1693197449,,16508610,269.45,269.75,465,30,,,
2023-08-28 10:07:25.603696,tf,NFO,60479,270.00,-1.19,1693197450,,16509795,,,75,60,,,
2023-08-28 10:07:25.694639,tf,NFO,60479,270.00,-1.19,1693197450,,16509795,,,75,60,,,
2023-08-28 10:07:26.607074,tf,NFO,60479,268.80,-1.63,1693197451,,16510305,268.65,269.10,45,75,,,
2023-08-28 10:07:26.682025,tf,NFO,60479,268.80,-1.63,1693197451,,16510305,268.65,269.10,45,75,,,
2023-08-28 10:07:26.703011,tf,NFO,60479,269.05,-1.54,1693197451,,,,,,,,,
2023-08-28 10:07:26.760977,tf,NFO,60479,269.05,-1.54,1693197451,,,,,,,,,
2023-08-28 10:07:27.204824,tf,NFO,60479,269.25,-1.46,1693197451,,16510890,268.95,269.25,60,15,,,
2023-08-28 10:07:27.281777,tf,NFO,60479,269.25,-1.46,1693197451,,16510890,268.95,269.25,60,15,,,
2023-08-28 10:07:27.701514,tf,NFO,60479,268.40,-1.77,1693197452,,,,,,,,,
2023-08-28 10:07:27.772470,tf,NFO,60479,268.40,-1.77,1693197452,,,,,,,,,
2023-08-28 10:07:28.207201,tf,NFO,60479,269.25,-1.46,1693197452,,16512315,268.60,268.90,,60,,,
2023-08-28 10:07:28.281155,tf,NFO,60479,269.25,-1.46,1693197452,,16512315,268.60,268.90,,60,,,
2023-08-28 10:07:28.701894,tf,NFO,60479,269.00,-1.56,1693197453,,,,,,,,,
2023-08-28 10:07:28.752863,tf,NFO,60479,269.00,-1.56,1693197453,,,,,,,,,
2023-08-28 10:07:29.701275,tf,NFO,60479,268.00,-1.92,1693197454,,,,,,,,,
2023-08-28 10:07:29.722260,tf,NFO,60479,268.00,-1.92,1693197454,,,,,,,,,
2023-08-28 10:07:30.209957,tf,NFO,60479,268.05,-1.90,1693197454,277.17,16516935,267.60,267.95,75,15,,,
2023-08-28 10:07:30.305900,tf,NFO,60479,268.05,-1.90,1693197454,277.17,16516935,267.60,267.95,75,15,,,
2023-08-28 10:07:30.900722,tf,NFO,60479,267.00,-2.29,1693197455,,,,,,,,,
2023-08-28 10:07:30.919710,tf,NFO,60479,267.00,-2.29,1693197455,,,,,,,,,
2023-08-28 10:07:31.208534,tf,NFO,60479,266.80,-2.36,1693197455,,16521855,266.60,267.10,60,690,,,
2023-08-28 10:07:31.350444,tf,NFO,60479,266.80,-2.36,1693197455,,16521855,266.60,267.10,60,690,,,
2023-08-28 10:07:31.703225,tf,NFO,60479,267.25,-2.20,1693197456,,,,,,,,,
2023-08-28 10:07:31.759190,tf,NFO,60479,267.25,-2.20,1693197456,,,,,,,,,
2023-08-28 10:07:32.210909,tf,NFO,60479,268.05,-1.90,1693197456,,16523430,267.80,268.05,,45,,,
2023-08-28 10:07:32.280864,tf,NFO,60479,268.05,-1.90,1693197456,,16523430,267.80,268.05,,45,,,
2023-08-28 10:07:32.702604,tf,NFO,60479,267.80,-1.99,1693197457,,,,,,,,,
2023-08-28 10:07:32.742579,tf,NFO,60479,267.80,-1.99,1693197457,,,,,,,,,
2023-08-28 10:07:33.211642,tf,NFO,60479,267.90,-1.96,1693197457,,16524720,267.95,268.35,15,15,,,
2023-08-28 10:07:33.215642,tf,NFO,60479,267.90,-1.96,1693197457,,16524720,267.95,268.35,15,15,,,
2023-08-28 10:07:33.703619,tf,NFO,60479,268.25,-1.83,1693197458,,,,,,,,,
2023-08-28 10:07:33.706354,tf,NFO,60479,268.25,-1.83,1693197458,,,,,,,,,
2023-08-28 10:07:34.215893,tf,NFO,60479,267.75,-2.01,1693197458,,16525410,267.50,267.85,75,60,,,
2023-08-28 10:07:34.218894,tf,NFO,60479,267.75,-2.01,1693197458,,16525410,267.50,267.85,75,60,,,
2023-08-28 10:07:34.703503,tf,NFO,60479,267.50,-2.10,1693197459,,,,,,,,,
2023-08-28 10:07:34.707809,tf,NFO,60479,267.50,-2.10,1693197459,,,,,,,,,
2023-08-28 10:07:35.217427,tf,NFO,60479,267.10,-2.25,1693197459,,16526040,267.10,267.25,15,105,,,
2023-08-28 10:07:35.223425,tf,NFO,60479,267.10,-2.25,1693197459,,16526040,267.10,267.25,15,105,,,
2023-08-28 10:07:35.705124,tf,NFO,60479,267.05,-2.27,1693197460,,,,,,,,,
2023-08-28 10:07:35.710122,tf,NFO,60479,267.05,-2.27,1693197460,,,,,,,,,
2023-08-28 10:07:36.215808,tf,NFO,60479,267.15,-2.23,1693197460,,16526490,266.70,267.05,75,30,,,
2023-08-28 10:07:36.225800,tf,NFO,60479,267.15,-2.23,1693197460,,16526490,266.70,267.05,75,30,,,
2023-08-28 10:07:36.709016,tf,NFO,60479,267.05,-2.27,1693197461,,,,,,,,,
2023-08-28 10:07:36.711014,tf,NFO,60479,267.05,-2.27,1693197461,,,,,,,,,
2023-08-28 10:07:37.217069,tf,NFO,60479,267.00,-2.29,1693197461,,16527870,267.00,,15,75,,,
2023-08-28 10:07:37.220072,tf,NFO,60479,267.00,-2.29,1693197461,,16527870,267.00,,15,75,,,
2023-08-28 10:07:37.707139,tf,NFO,60479,266.50,-2.47,1693197462,,,,,,,,,
2023-08-28 10:07:37.711136,tf,NFO,60479,266.50,-2.47,1693197462,,,,,,,,,
2023-08-28 10:07:38.218778,tf,NFO,60479,266.60,-2.43,1693197462,,16528650,266.30,266.75,90,165,,,
2023-08-28 10:07:38.222774,tf,NFO,60479,266.60,-2.43,1693197462,,16528650,266.30,266.75,90,165,,,
2023-08-28 10:07:38.909898,tf,NFO,60479,267.00,-2.29,1693197463,,,,,,,,,
2023-08-28 10:07:38.912886,tf,NFO,60479,267.00,-2.29,1693197463,,,,,,,,,
2023-08-28 10:07:39.224017,tf,NFO,60479,266.55,-2.45,1693197463,277.16,16532760,266.70,267.10,105,15,,,
2023-08-28 10:07:39.230013,tf,NFO,60479,266.55,-2.45,1693197463,277.16,16532760,266.70,267.10,105,15,,,
2023-08-28 10:07:39.710161,tf,NFO,60479,266.80,-2.36,1693197464,,,,,,,,,
2023-08-28 10:07:39.712161,tf,NFO,60479,266.80,-2.36,1693197464,,,,,,,,,
2023-08-28 10:07:40.225320,tf,NFO,60479,267.30,-2.18,1693197464,,16534530,267.00,,15,75,,,
2023-08-28 10:07:40.230059,tf,NFO,60479,267.30,-2.18,1693197464,,16534530,267.00,,15,75,,,
2023-08-28 10:07:40.709778,tf,NFO,60479,266.80,-2.36,1693197465,,,,,,,,,
2023-08-28 10:07:40.714321,tf,NFO,60479,266.80,-2.36,1693197465,,,,,,,,,
2023-08-28 10:07:41.228102,tf,NFO,60479,267.05,-2.27,1693197465,,16534875,267.15,267.45,75,45,,,
2023-08-28 10:07:41.231097,tf,NFO,60479,267.05,-2.27,1693197465,,16534875,267.15,267.45,75,45,,,
2023-08-28 10:07:41.714011,tf,NFO,60479,267.60,-2.07,1693197466,,,,,,,,,
2023-08-28 10:07:41.720006,tf,NFO,60479,267.60,-2.07,1693197466,,,,,,,,,
2023-08-28 10:07:42.425600,tf,NFO,60479,267.65,-2.05,1693197466,,16537275,267.05,267.35,60,30,,,
2023-08-28 10:07:42.429597,tf,NFO,60479,267.65,-2.05,1693197466,,16537275,267.05,267.35,60,30,,,
2023-08-28 10:07:42.712074,tf,NFO,60479,267.00,-2.29,1693197467,,,,,,,,,
2023-08-28 10:07:42.716068,tf,NFO,60479,267.00,-2.29,1693197467,,,,,,,,,
2023-08-28 10:07:43.425800,tf,NFO,60479,266.40,-2.51,1693197467,,16540005,266.05,266.55,45,75,,,
2023-08-28 10:07:43.432856,tf,NFO,60479,266.40,-2.51,1693197467,,16540005,266.05,266.55,45,75,,,
2023-08-28 10:07:43.714240,tf,NFO,60479,266.05,-2.63,1693197468,,,,,,,,,
2023-08-28 10:07:43.717238,tf,NFO,60479,266.05,-2.63,1693197468,,,,,,,,,
2023-08-28 10:07:44.232846,tf,NFO,60479,265.85,-2.71,1693197468,,16541670,266.15,266.45,60,15,,,
2023-08-28 10:07:44.234847,tf,NFO,60479,265.85,-2.71,1693197468,,16541670,266.15,266.45,60,15,,,
2023-08-28 10:07:44.714145,tf,NFO,60479,265.65,-2.78,1693197469,,,,,,,,,
2023-08-28 10:07:44.717140,tf,NFO,60479,265.65,-2.78,1693197469,,,,,,,,,
2023-08-28 10:07:45.629981,tf,NFO,60479,265.95,-2.67,1693197470,277.15,16550700,265.55,265.95,345,,,,
2023-08-28 10:07:45.633987,tf,NFO,60479,265.95,-2.67,1693197470,277.15,16550700,265.55,265.95,345,,,,
2023-08-28 10:07:46.437055,tf,NFO,60479,265.55,-2.82,1693197470,,16552305,,266.05,465,150,,,
2023-08-28 10:07:46.443050,tf,NFO,60479,265.55,-2.82,1693197470,,16552305,,266.05,465,150,,,
2023-08-28 10:07:46.716297,tf,NFO,60479,265.50,-2.84,1693197471,,,,,,,,,
2023-08-28 10:07:46.719301,tf,NFO,60479,265.50,-2.84,1693197471,,,,,,,,,
2023-08-28 10:07:47.633623,tf,NFO,60479,266.60,-2.43,1693197472,,16554210,266.35,266.75,15,210,,,
2023-08-28 10:07:47.637854,tf,NFO,60479,266.60,-2.43,1693197472,,16554210,266.35,266.75,15,210,,,
2023-08-28 10:07:47.716587,tf,NFO,60479,266.10,-2.62,1693197472,,,,,,,,,
2023-08-28 10:07:47.719585,tf,NFO,60479,266.10,-2.62,1693197472,,,,,,,,,
2023-08-28 10:07:48.234177,tf,NFO,60479,266.05,-2.63,1693197472,,16558275,265.60,266.00,120,60,,,
2023-08-28 10:07:48.238616,tf,NFO,60479,266.05,-2.63,1693197472,,16558275,265.60,266.00,120,60,,,
2023-08-28 10:07:49.718296,tf,NFO,60479,265.90,-2.69,1693197474,,,,,,,,,
2023-08-28 10:07:49.720295,tf,NFO,60479,265.90,-2.69,1693197474,,,,,,,,,
2023-08-28 10:07:50.237784,tf,NFO,60479,266.90,-2.32,1693197474,277.14,16563105,266.50,266.80,165,30,,,
2023-08-28 10:07:50.239780,tf,NFO,60479,266.90,-2.32,1693197474,277.14,16563105,266.50,266.80,165,30,,,
2023-08-28 10:07:50.717620,tf,NFO,60479,266.80,-2.36,1693197475,,,,,,,,,
2023-08-28 10:07:50.723935,tf,NFO,60479,266.80,-2.36,1693197475,,,,,,,,,
2023-08-28 10:07:51.721426,tf,NFO,60479,267.00,-2.29,1693197476,,,,,,,,,
2023-08-28 10:07:51.722425,tf,NFO,60479,267.00,-2.29,1693197476,,,,,,,,,
2023-08-28 10:07:52.449161,tf,NFO,60479,267.45,-2.12,1693197476,,16566780,267.20,267.70,120,105,,,
2023-08-28 10:07:52.450161,tf,NFO,60479,267.45,-2.12,1693197476,,16566780,267.20,267.70,120,105,,,
2023-08-28 10:07:52.720449,tf,NFO,60479,267.95,-1.94,1693197477,,,,,,,,,
2023-08-28 10:07:52.726373,tf,NFO,60479,267.95,-1.94,1693197477,,,,,,,,,
2023-08-28 10:07:53.247531,tf,NFO,60479,268.70,-1.67,1693197477,,16568310,268.70,269.00,90,420,,,
2023-08-28 10:07:53.251331,tf,NFO,60479,268.70,-1.67,1693197477,,16568310,268.70,269.00,90,420,,,
2023-08-28 10:07:53.723646,tf,NFO,60479,269.10,-1.52,1693197478,,,,,,,,,
2023-08-28 10:07:53.728642,tf,NFO,60479,269.10,-1.52,1693197478,,,,,,,,,
2023-08-28 10:07:54.242644,tf,NFO,60479,269.75,-1.28,1693197478,,16569735,269.45,269.75,120,45,,,
2023-08-28 10:07:54.247560,tf,NFO,60479,269.75,-1.28,1693197478,,16569735,269.45,269.75,120,45,,,
2023-08-28 10:07:54.720915,tf,NFO,60479,270.00,-1.19,1693197479,,,,,,,,,
2023-08-28 10:07:54.724913,tf,NFO,60479,270.00,-1.19,1693197479,,,,,,,,,
2023-08-28 10:07:56.246631,tf,NFO,60479,269.60,-1.34,1693197480,,16570980,269.70,,45,5175,,,
2023-08-28 10:07:56.250887,tf,NFO,60479,269.60,-1.34,1693197480,,16570980,269.70,,45,5175,,,
2023-08-28 10:07:56.722885,tf,NFO,60479,269.65,-1.32,1693197481,,,,,,,,,
2023-08-28 10:07:56.726889,tf,NFO,60479,269.65,-1.32,1693197481,,,,,,,,,
2023-08-28 10:07:57.249459,tf,NFO,60479,269.85,-1.24,1693197481,,16571640,269.65,269.85,15,60,,,
2023-08-28 10:07:57.253462,tf,NFO,60479,269.85,-1.24,1693197481,,16571640,269.65,269.85,15,60,,,
2023-08-28 10:07:57.724201,tf,NFO,60479,270.00,-1.19,1693197482,,,,,,,,,
2023-08-28 10:07:57.727199,tf,NFO,60479,270.00,-1.19,1693197482,,,,,,,,,
2023-08-28 10:07:58.251062,tf,NFO,60479,270.50,-1.01,1693197482,,16577520,270.20,270.50,90,495,,,
2023-08-28 10:07:58.253066,tf,NFO,60479,270.50,-1.01,1693197482,,16577520,270.20,270.50,90,495,,,
